device, pi
F0-25-72-7D-88-76 = -73
F0-25-72-7D-88-F0 = -45
F0-25-72-7D-88-F2 = -45
F0-25-72-7D-88-F4 = -47
F0-25-72-7D-88-F6 = -49
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -65
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-AB-C2 = -71
F0-25-72-7D-AB-C4 = -69
F0-25-72-7D-EA-46 = -71
F0-25-72-7D-EB-80 = -63
F0-25-72-7D-EB-82 = -63
F0-25-72-7D-EB-86 = -63
F0-25-72-7D-FC-50 = -51
F0-25-72-7D-FC-56 = -51
---------------------
00-25-9C-52-91-1D = -67
6C-B0-CE-ED-2B-BB = -45
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -73
F0-25-72-7D-19-00 = -65
F0-25-72-7D-19-02 = -63
F0-25-72-7D-19-06 = -63
F0-25-72-7D-19-F2 = -71
F0-25-72-7D-19-F4 = -73
F0-25-72-7D-19-F6 = -71
F0-25-72-7D-4F-34 = -73
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -65
F0-25-72-7D-56-B6 = -65
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -49
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-80-D2 = -77
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-72 = -73
F0-25-72-7D-88-76 = -73
F0-25-72-7D-88-F0 = -45
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -47
F0-25-72-7D-88-F6 = -49
F0-25-72-7D-8A-C0 = -51
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -49
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-EB-84 = -65
F0-25-72-7D-EB-86 = -63
F0-25-72-7D-FC-50 = -47
F0-25-72-7D-FC-54 = -49
F0-25-72-7D-FC-56 = -47
---------------------
00-25-9C-52-91-1D = -67
6C-B0-CE-ED-2B-BB = -47
90-84-0D-DA-8D-D7 = -67
B4-18-D1-E0-33-DE = -73
F0-25-72-70-B6-70 = -67
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-7D-19-00 = -67
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F0 = -77
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B6 = -65
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -51
F0-25-72-7D-80-D2 = -77
F0-25-72-7D-88-76 = -77
F0-25-72-7D-88-F0 = -51
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -51
F0-25-72-7D-88-F6 = -51
F0-25-72-7D-8A-C0 = -53
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -51
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-FC-54 = -49
F0-25-72-7D-FC-56 = -49
---------------------
00-25-9C-52-91-1D = -67
02-11-87-A5-5A-72 = -71
6C-B0-CE-ED-2B-BB = -43
B4-18-D1-E0-33-DE = -73
F0-25-72-70-B6-72 = -69
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -71
F0-25-72-7D-19-00 = -65
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-04 = -65
F0-25-72-7D-19-06 = -65
F0-25-72-7D-19-F0 = -71
F0-25-72-7D-19-F4 = -67
F0-25-72-7D-4F-30 = -71
F0-25-72-7D-4F-34 = -71
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-80-D2 = -77
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-72 = -75
F0-25-72-7D-88-76 = -75
F0-25-72-7D-88-F0 = -53
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -51
F0-25-72-7D-88-F6 = -51
F0-25-72-7D-8A-C0 = -53
F0-25-72-7D-8A-C2 = -53
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -53
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-50 = -47
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -47
---------------------
00-25-9C-52-91-1D = -67
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -71
F0-25-72-12-0B-F0 = -77
F0-25-72-70-B6-70 = -69
F0-25-72-70-B6-72 = -69
F0-25-72-70-B6-76 = -71
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F2 = -71
F0-25-72-7D-19-F6 = -73
F0-25-72-7D-4F-36 = -73
F0-25-72-7D-56-B0 = -71
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -49
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-80-D2 = -77
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-72 = -75
F0-25-72-7D-88-76 = -77
F0-25-72-7D-88-F0 = -51
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -49
F0-25-72-7D-88-F6 = -51
F0-25-72-7D-8A-C0 = -51
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -51
F0-25-72-7D-8A-C6 = -51
F0-25-72-7D-EB-80 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -47
---------------------
00-25-9C-52-91-1D = -65
02-11-87-A5-5A-72 = -69
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -67
F0-25-72-12-0B-F0 = -77
F0-25-72-70-B6-70 = -71
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -73
F0-25-72-7D-19-00 = -63
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-04 = -65
F0-25-72-7D-19-06 = -63
F0-25-72-7D-19-F2 = -71
F0-25-72-7D-19-F4 = -73
F0-25-72-7D-19-F6 = -71
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-56-B6 = -71
F0-25-72-7D-7C-A0 = -51
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -51
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-80-D0 = -79
F0-25-72-7D-80-D4 = -79
F0-25-72-7D-88-70 = -77
F0-25-72-7D-88-74 = -77
F0-25-72-7D-88-76 = -77
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -49
F0-25-72-7D-88-F6 = -47
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -49
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8A-C6 = -49
F0-25-72-7D-EB-80 = -69
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -69
F0-25-72-7D-EB-86 = -69
F0-25-72-7D-FC-50 = -47
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -47
---------------------
00-25-9C-52-91-1D = -67
6C-B0-CE-ED-2B-BB = -47
B4-18-D1-E0-33-DE = -67
F0-25-72-12-0B-F4 = -77
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -73
F0-25-72-7D-19-00 = -67
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F2 = -73
F0-25-72-7D-19-F4 = -73
F0-25-72-7D-19-F6 = -73
F0-25-72-7D-4F-32 = -73
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B6 = -71
F0-25-72-7D-7C-A0 = -51
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -51
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-80-D0 = -79
F0-25-72-7D-80-D4 = -79
F0-25-72-7D-80-D6 = -79
F0-25-72-7D-88-70 = -77
F0-25-72-7D-88-72 = -71
F0-25-72-7D-88-74 = -69
F0-25-72-7D-88-76 = -69
F0-25-72-7D-88-F0 = -51
F0-25-72-7D-88-F2 = -51
F0-25-72-7D-88-F4 = -51
F0-25-72-7D-88-F6 = -47
F0-25-72-7D-8A-C0 = -49
F0-25-72-7D-8A-C2 = -49
F0-25-72-7D-8A-C4 = -49
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-EB-80 = -69
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-86 = -73
F0-25-72-7D-FC-50 = -47
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -49
---------------------
00-25-9C-52-91-1D = -67
6C-B0-CE-ED-2B-BB = -47
B4-18-D1-E0-33-DE = -67
F0-25-72-12-0B-F2 = -75
F0-25-72-12-0B-F4 = -77
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -73
F0-25-72-70-BD-44 = -75
F0-25-72-7D-19-00 = -65
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F0 = -71
F0-25-72-7D-19-F2 = -69
F0-25-72-7D-19-F6 = -69
F0-25-72-7D-4F-30 = -69
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -65
F0-25-72-7D-56-B6 = -67
F0-25-72-7D-7C-A0 = -51
F0-25-72-7D-7C-A2 = -53
F0-25-72-7D-7C-A4 = -55
F0-25-72-7D-7C-A6 = -53
F0-25-72-7D-80-D6 = -79
F0-25-72-7D-88-72 = -71
F0-25-72-7D-88-74 = -69
F0-25-72-7D-88-76 = -69
F0-25-72-7D-88-F0 = -51
F0-25-72-7D-88-F2 = -53
F0-25-72-7D-88-F4 = -53
F0-25-72-7D-88-F6 = -53
F0-25-72-7D-8A-C2 = -51
F0-25-72-7D-8A-C4 = -49
F0-25-72-7D-8A-C6 = -49
F0-25-72-7D-AB-C0 = -71
F0-25-72-7D-EB-80 = -61
F0-25-72-7D-EB-82 = -61
F0-25-72-7D-EB-84 = -61
F0-25-72-7D-EB-86 = -63
F0-25-72-7D-FC-52 = -49
F0-25-72-7D-FC-56 = -49
---------------------
00-25-9C-52-91-1D = -65
02-11-87-A5-5A-72 = -65
6C-B0-CE-ED-2B-BB = -43
B4-18-D1-E0-33-DE = -69
F0-25-72-12-0B-F2 = -75
F0-25-72-70-B6-72 = -71
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -71
F0-25-72-70-BD-44 = -75
F0-25-72-7D-19-00 = -69
F0-25-72-7D-19-02 = -69
F0-25-72-7D-19-04 = -67
F0-25-72-7D-19-F0 = -67
F0-25-72-7D-19-F2 = -69
F0-25-72-7D-19-F4 = -69
F0-25-72-7D-19-F6 = -71
F0-25-72-7D-4F-30 = -67
F0-25-72-7D-4F-32 = -63
F0-25-72-7D-4F-34 = -65
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -65
F0-25-72-7D-56-B4 = -65
F0-25-72-7D-56-B6 = -63
F0-25-72-7D-7C-A0 = -51
F0-25-72-7D-7C-A2 = -49
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-80-D6 = -75
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-72 = -75
F0-25-72-7D-88-74 = -75
F0-25-72-7D-88-76 = -75
F0-25-72-7D-88-F4 = -49
F0-25-72-7D-88-F6 = -49
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-AB-C0 = -71
F0-25-72-7D-EA-46 = -67
F0-25-72-7D-EB-80 = -61
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-84 = -69
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-52 = -45
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -47
---------------------
00-25-9C-52-91-1D = -73
02-11-87-A5-5A-72 = -67
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -71
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-72 = -71
F0-25-72-70-B6-74 = -67
F0-25-72-70-B6-76 = -71
F0-25-72-7D-19-F6 = -69
F0-25-72-7D-4F-34 = -65
F0-25-72-7D-4F-36 = -73
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -65
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -65
F0-25-72-7D-7C-A0 = -53
F0-25-72-7D-7C-A2 = -53
F0-25-72-7D-7C-A4 = -53
F0-25-72-7D-7C-A6 = -55
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-80-D6 = -75
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-72 = -75
F0-25-72-7D-88-74 = -75
F0-25-72-7D-88-76 = -73
F0-25-72-7D-88-F0 = -47
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -49
F0-25-72-7D-88-F6 = -47
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C4 = -49
F0-25-72-7D-EA-40 = -67
F0-25-72-7D-EB-82 = -67
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -45
F0-25-72-7D-FC-56 = -45
---------------------
00-25-9C-52-91-1D = -69
6C-B0-CE-ED-2B-BB = -47
B4-18-D1-E0-33-DE = -65
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-72 = -73
F0-25-72-70-B6-74 = -67
F0-25-72-7D-19-00 = -67
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-04 = -67
F0-25-72-7D-19-06 = -65
F0-25-72-7D-19-F0 = -67
F0-25-72-7D-4F-30 = -71
F0-25-72-7D-56-B0 = -65
F0-25-72-7D-56-B2 = -65
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-56-B6 = -63
F0-25-72-7D-7C-A0 = -63
F0-25-72-7D-7C-A2 = -63
F0-25-72-7D-7C-A4 = -65
F0-25-72-7D-7C-A6 = -63
F0-25-72-7D-80-D4 = -77
F0-25-72-7D-88-70 = -73
F0-25-72-7D-88-76 = -73
F0-25-72-7D-88-F0 = -47
F0-25-72-7D-88-F2 = -47
F0-25-72-7D-88-F4 = -49
F0-25-72-7D-88-F6 = -47
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -45
F0-25-72-7D-8A-C4 = -45
F0-25-72-7D-8A-C6 = -45
F0-25-72-7D-EA-46 = -69
F0-25-72-7D-EB-82 = -65
F0-25-72-7D-EB-84 = -65
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-50 = -49
F0-25-72-7D-FC-52 = -49
F0-25-72-7D-FC-54 = -51
F0-25-72-7D-FC-56 = -49
---------------------
========== [FLAGGED] =============
00-25-9C-52-91-1D = -71
6C-B0-CE-ED-2B-BB = -49
F0-25-72-70-B6-72 = -75
F0-25-72-70-B6-74 = -71
F0-25-72-70-B6-76 = -73
F0-25-72-7D-19-00 = -61
F0-25-72-7D-19-02 = -61
F0-25-72-7D-19-06 = -63
F0-25-72-7D-19-F2 = -69
F0-25-72-7D-19-F4 = -69
F0-25-72-7D-4F-34 = -71
F0-25-72-7D-56-B0 = -69
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-74 = -75
F0-25-72-7D-88-F0 = -45
F0-25-72-7D-88-F2 = -45
F0-25-72-7D-88-F4 = -41
F0-25-72-7D-88-F6 = -45
F0-25-72-7D-8A-C0 = -45
F0-25-72-7D-8A-C2 = -45
F0-25-72-7D-8A-C4 = -45
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-EA-42 = -65
F0-25-72-7D-EA-46 = -65
F0-25-72-7D-EB-80 = -67
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-50 = -45
---------------------
00-25-9C-52-91-1D = -71
02-11-87-A5-5A-72 = -73
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -75
F0-25-72-70-B6-72 = -75
F0-25-72-70-B6-74 = -71
F0-25-72-70-B6-76 = -73
F0-25-72-70-BD-46 = -79
F0-25-72-7D-19-00 = -61
F0-25-72-7D-19-02 = -65
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F2 = -73
F0-25-72-7D-19-F6 = -73
F0-25-72-7D-56-B0 = -67
F0-25-72-7D-56-B4 = -67
F0-25-72-7D-7C-A0 = -53
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -51
F0-25-72-7D-7C-A6 = -53
F0-25-72-7D-88-70 = -75
F0-25-72-7D-88-74 = -75
F0-25-72-7D-88-F0 = -53
F0-25-72-7D-88-F2 = -45
F0-25-72-7D-88-F4 = -53
F0-25-72-7D-88-F6 = -45
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -47
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-EB-86 = -73
F0-25-72-7D-FC-50 = -47
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -47
---------------------
00-25-9C-52-91-1D = -69
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -73
F0-25-72-70-BD-46 = -79
F0-25-72-7D-19-00 = -67
F0-25-72-7D-19-02 = -65
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F0 = -67
F0-25-72-7D-19-F2 = -71
F0-25-72-7D-19-F6 = -71
F0-25-72-7D-56-B0 = -69
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -49
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-88-F0 = -45
F0-25-72-7D-88-F2 = -43
F0-25-72-7D-88-F4 = -43
F0-25-72-7D-88-F6 = -45
F0-25-72-7D-8A-C0 = -41
F0-25-72-7D-8A-C2 = -41
F0-25-72-7D-8A-C4 = -41
F0-25-72-7D-8A-C6 = -41
F0-25-72-7D-EA-42 = -69
F0-25-72-7D-EB-82 = -69
F0-25-72-7D-EB-84 = -67
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-52 = -47
F0-25-72-7D-FC-54 = -45
F0-25-72-7D-FC-56 = -45
---------------------
00-25-9C-52-91-1D = -69
6C-B0-CE-ED-2B-BB = -47
B4-18-D1-E0-33-DE = -69
F0-25-72-70-B6-72 = -75
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -71
F0-25-72-7D-19-00 = -67
F0-25-72-7D-19-02 = -67
F0-25-72-7D-19-04 = -65
F0-25-72-7D-19-06 = -65
F0-25-72-7D-19-F2 = -73
F0-25-72-7D-19-F6 = -73
F0-25-72-7D-4F-30 = -71
F0-25-72-7D-4F-32 = -71
F0-25-72-7D-56-B0 = -69
F0-25-72-7D-56-B2 = -67
F0-25-72-7D-56-B4 = -69
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -49
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-88-74 = -73
F0-25-72-7D-88-F0 = -47
F0-25-72-7D-88-F2 = -47
F0-25-72-7D-88-F4 = -43
F0-25-72-7D-88-F6 = -67
F0-25-72-7D-8A-C0 = -43
F0-25-72-7D-8A-C2 = -43
F0-25-72-7D-8A-C4 = -41
F0-25-72-7D-8A-C6 = -41
F0-25-72-7D-EA-42 = -69
F0-25-72-7D-EB-82 = -73
F0-25-72-7D-EB-84 = -75
F0-25-72-7D-EB-86 = -67
F0-25-72-7D-FC-54 = -49
F0-25-72-7D-FC-56 = -59
---------------------
00-25-9C-52-91-1D = -73
6C-B0-CE-ED-2B-BB = -43
B4-18-D1-E0-33-DE = -69
F0-25-72-70-B6-72 = -75
F0-25-72-70-B6-74 = -73
F0-25-72-70-B6-76 = -71
F0-25-72-7D-19-04 = -65
F0-25-72-7D-19-06 = -65
F0-25-72-7D-19-F0 = -63
F0-25-72-7D-19-F2 = -63
F0-25-72-7D-19-F4 = -65
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-56-B0 = -69
F0-25-72-7D-56-B6 = -71
F0-25-72-7D-7C-A0 = -71
F0-25-72-7D-7C-A2 = -49
F0-25-72-7D-7C-A4 = -49
F0-25-72-7D-7C-A6 = -49
F0-25-72-7D-88-72 = -71
F0-25-72-7D-88-74 = -73
F0-25-72-7D-88-76 = -71
F0-25-72-7D-88-F0 = -47
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -47
F0-25-72-7D-88-F6 = -47
F0-25-72-7D-8A-C0 = -43
F0-25-72-7D-8A-C2 = -43
F0-25-72-7D-8A-C4 = -43
F0-25-72-7D-8A-C6 = -43
F0-25-72-7D-AB-C0 = -71
F0-25-72-7D-EA-46 = -71
F0-25-72-7D-FC-52 = -49
F0-25-72-7D-FC-54 = -51
F0-25-72-7D-FC-56 = -59
---------------------
00-25-9C-52-91-1D = -69
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -69
F0-25-72-70-B6-76 = -77
F0-25-72-7D-19-00 = -65
F0-25-72-7D-19-02 = -65
F0-25-72-7D-19-04 = -65
F0-25-72-7D-19-06 = -67
F0-25-72-7D-19-F0 = -65
F0-25-72-7D-19-F2 = -65
F0-25-72-7D-19-F4 = -65
F0-25-72-7D-19-F6 = -65
F0-25-72-7D-4F-30 = -69
F0-25-72-7D-4F-34 = -69
F0-25-72-7D-56-B0 = -71
F0-25-72-7D-56-B2 = -69
F0-25-72-7D-56-B6 = -71
F0-25-72-7D-7C-A0 = -49
F0-25-72-7D-7C-A2 = -51
F0-25-72-7D-7C-A4 = -51
F0-25-72-7D-7C-A6 = -51
F0-25-72-7D-88-70 = -77
F0-25-72-7D-88-72 = -71
F0-25-72-7D-88-76 = -71
F0-25-72-7D-88-F0 = -47
F0-25-72-7D-88-F2 = -47
F0-25-72-7D-88-F4 = -47
F0-25-72-7D-88-F6 = -45
F0-25-72-7D-8A-C0 = -43
F0-25-72-7D-8A-C2 = -43
F0-25-72-7D-8A-C4 = -43
F0-25-72-7D-8A-C6 = -43
F0-25-72-7D-AB-C0 = -69
F0-25-72-7D-AB-C4 = -73
F0-25-72-7D-EA-46 = -71
F0-25-72-7D-EB-80 = -71
F0-25-72-7D-FC-50 = -51
F0-25-72-7D-FC-54 = -65
---------------------
00-25-9C-52-91-1D = -69
56-5A-04-2F-2C-A1 = -77
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -71
F0-25-72-70-B6-76 = -77
F0-25-72-7D-19-00 = -65
F0-25-72-7D-19-02 = -63
F0-25-72-7D-19-04 = -65
F0-25-72-7D-19-06 = -65
F0-25-72-7D-19-F2 = -69
F0-25-72-7D-19-F4 = -69
F0-25-72-7D-19-F6 = -69
F0-25-72-7D-4F-32 = -69
F0-25-72-7D-4F-34 = -69
F0-25-72-7D-56-B0 = -71
F0-25-72-7D-56-B2 = -71
F0-25-72-7D-56-B4 = -77
F0-25-72-7D-56-B6 = -77
F0-25-72-7D-7C-A0 = -59
F0-25-72-7D-7C-A2 = -57
F0-25-72-7D-7C-A4 = -59
F0-25-72-7D-7C-A6 = -59
F0-25-72-7D-88-70 = -77
F0-25-72-7D-88-74 = -69
F0-25-72-7D-88-76 = -69
F0-25-72-7D-88-F0 = -47
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -51
F0-25-72-7D-88-F6 = -49
F0-25-72-7D-8A-C0 = -43
F0-25-72-7D-8A-C2 = -43
F0-25-72-7D-8A-C4 = -65
F0-25-72-7D-8A-C6 = -45
F0-25-72-7D-EB-82 = -71
F0-25-72-7D-EB-86 = -71
F0-25-72-7D-FC-50 = -47
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -49
---------------------
02-11-87-A5-5A-72 = -73
56-5A-04-2F-2C-A1 = -77
6C-B0-CE-ED-2B-BB = -45
B4-18-D1-E0-33-DE = -69
F0-25-72-7D-19-00 = -61
F0-25-72-7D-19-02 = -63
F0-25-72-7D-19-04 = -63
F0-25-72-7D-19-06 = -63
F0-25-72-7D-19-F2 = -69
F0-25-72-7D-19-F6 = -69
F0-25-72-7D-56-B0 = -77
F0-25-72-7D-56-B2 = -77
F0-25-72-7D-56-B4 = -73
F0-25-72-7D-56-B6 = -75
F0-25-72-7D-7C-A0 = -53
F0-25-72-7D-7C-A2 = -53
F0-25-72-7D-7C-A4 = -53
F0-25-72-7D-7C-A6 = -53
F0-25-72-7D-88-74 = -71
F0-25-72-7D-88-76 = -69
F0-25-72-7D-88-F0 = -45
F0-25-72-7D-88-F2 = -49
F0-25-72-7D-88-F4 = -51
F0-25-72-7D-88-F6 = -51
F0-25-72-7D-8A-C0 = -45
F0-25-72-7D-8A-C2 = -45
F0-25-72-7D-8A-C4 = -45
F0-25-72-7D-8A-C6 = -45
F0-25-72-7D-EB-84 = -69
F0-25-72-7D-EB-86 = -71
F0-25-72-7D-FC-56 = -49
---------------------
02-11-87-A5-5A-72 = -69
6C-B0-CE-ED-2B-BB = -49
B4-18-D1-E0-33-DE = -77
F0-25-72-7D-19-00 = -63
F0-25-72-7D-19-02 = -65
F0-25-72-7D-19-04 = -63
F0-25-72-7D-19-06 = -63
F0-25-72-7D-19-F0 = -73
F0-25-72-7D-19-F6 = -73
F0-25-72-7D-4F-32 = -73
F0-25-72-7D-4F-34 = -71
F0-25-72-7D-56-B0 = -77
F0-25-72-7D-56-B2 = -73
F0-25-72-7D-56-B4 = -73
F0-25-72-7D-56-B6 = -69
F0-25-72-7D-7C-A0 = -53
F0-25-72-7D-7C-A2 = -53
F0-25-72-7D-7C-A4 = -53
F0-25-72-7D-7C-A6 = -53
F0-25-72-7D-88-74 = -71
F0-25-72-7D-88-F0 = -49
F0-25-72-7D-88-F2 = -47
F0-25-72-7D-88-F4 = -49
F0-25-72-7D-88-F6 = -49
F0-25-72-7D-8A-C0 = -47
F0-25-72-7D-8A-C2 = -47
F0-25-72-7D-8A-C4 = -49
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-AB-C2 = -73
F0-25-72-7D-EB-82 = -73
F0-25-72-7D-EB-84 = -73
F0-25-72-7D-EB-86 = -73
F0-25-72-7D-FC-54 = -47
F0-25-72-7D-FC-56 = -49
---------------------
========== [FLAGGED] =============
00-25-9C-52-91-1D = -73
02-11-87-A5-5A-72 = -69
6C-B0-CE-ED-2B-BB = -53
B4-18-D1-E0-33-DE = -73
F0-25-72-70-B6-70 = -73
F0-25-72-70-B6-76 = -75
